baseGameReelSetsDistributions
profile, ways, weight, reelset,
Losing,
,MinWays,
,,1,6,
,LowWays,
,,1,6,
,MedWays,
,,1,6,
,HighWays,
,,1,6,
,MaxWays,
,,1,6,
BaseGameUltraLow,
,MinWays,
,,1,6,
,LowWays,
,,1,6,
,MedWays,
,,1,6,
,HighWays,
,,1,6,
,MaxWays,
,,1,6,
BaseGameLow,
,MinWays,
,,500000,1,
,,750000,6,
,LowWays,
,,450000,4,
,,450000,5,
,,100000,6,
,MedWays,
,,150000,1,
,,8500000,6,
,HighWays,
,,800000,1,
,,9200000,6,
,MaxWays,
,,600000,1,
,,9400000,6,
BaseGameMedium,
,MinWays,
,,1,6,
,LowWays,
,,1,6,
,MedWays,
,,100000,0,
,,180000,4,
,,100000,5,
,,370000,6,
,HighWays,
,,150000,0,
,,150000,4,
,,150000,5,
,,550000,6,
,MaxWays,
,,100000,0,
,,150000,4,
,,100000,5,
,,650000,6,
BaseGameHigh,
,MinWays,
,,1000000,6,
,LowWays,
,,1,6,
,MedWays,
,,100000,0,
,,800000,4,
,,100000,5,
,HighWays,
,,150000,0,
,,200000,4,
,,150000,5,
,,500000,6,
,MaxWays,
,,200000,0,
,,200000,4,
,,600000,6,
