instantPrizeCoinsConfig

availableColumns,1,2,3,4,

betMultipliersDistributions,weight,value,

,1,1,
,1,2,
,1,0,

,1,1,
,1,2,
,1,5,
,1,0,

,1,1,
,1,2,
,1,5,
,1,10,
,1,0,

,1,1,
,1,2,
,1,5,
,1,10,
,1,25,
,1,0,

,1,1,
,1,2,
,1,5,
,1,10,
,1,25,
,1,50,
,1,0,
profile,item,values,

baseGameProfiles,

,fixedBetMultipliers,1,1,
,randomBetMultiplierDistributionsIndices,values,
,threshhold,4,
,fallbackDistributionIndex,0,

,fixedBetMultipliers,1,1,1,
,randomBetMultiplierDistributionsIndices,values,
,threshhold,4,
,fallbackDistributionIndex,0,

,fixedBetMultipliers,1,1,1,
,randomBetMultiplierDistributionsIndices,values,0,
,threshhold,4,
,fallbackDistributionIndex,0,

,fixedBetMultipliers,1,2,2,
,randomBetMultiplierDistributionsIndices,values,0,0,0,
,threshhold,7,
,fallbackDistributionIndex,0,

,fixedBetMultipliers,1,2,2,
,randomBetMultiplierDistributionsIndices,values,1,1,1,1,1,1,1,
,threshhold,9,
,fallbackDistributionIndex,0,

,fixedBetMultipliers,5,1,2,
,randomBetMultiplierDistributionsIndices,values,0,0,0,0,
,threshhold,10,
,fallbackDistributionIndex,0,

,fixedBetMultipliers,5,5,1,
,randomBetMultiplierDistributionsIndices,values,0,0,0,0,0,0,
,threshhold,12,
,fallbackDistributionIndex,0,

,fixedBetMultipliers,5,5,5,
,randomBetMultiplierDistributionsIndices,values,0,0,0,0,
,threshhold,17,
,fallbackDistributionIndex,0,

,fixedBetMultipliers,10,1,1,
,randomBetMultiplierDistributionsIndices,values,0,0,0,0,0,0,0,
,threshhold,17,
,fallbackDistributionIndex,0,

,fixedBetMultipliers,10,2,1,
,randomBetMultiplierDistributionsIndices,values,1,1,1,1,1,1,1,
,threshhold,22,
,fallbackDistributionIndex,0,

,fixedBetMultipliers,25,1,5,
,randomBetMultiplierDistributionsIndices,values,1,1,1,1,1,1,1,
,threshhold,35,
,fallbackDistributionIndex,0,

,fixedBetMultipliers,25,2,1,
,randomBetMultiplierDistributionsIndices,values,2,2,2,2,2,2,2,
,threshhold,45,
,fallbackDistributionIndex,0,

,fixedBetMultipliers,50,1,1,
,randomBetMultiplierDistributionsIndices,values,1,1,1,1,1,1,1,
,threshhold,60,
,fallbackDistributionIndex,0,

,fixedBetMultipliers,50,5,2,
,randomBetMultiplierDistributionsIndices,values,3,3,3,3,3,3,3,
,threshhold,70,
,fallbackDistributionIndex,0,

,fixedBetMultipliers,100,1,1,
,randomBetMultiplierDistributionsIndices,values,3,3,3,3,3,3,3,
,threshhold,115,
,fallbackDistributionIndex,0,

,fixedBetMultipliers,250,1,5,
,randomBetMultiplierDistributionsIndices,values,3,3,3,3,3,3,3,
,threshhold,280,
,fallbackDistributionIndex,0,

,fixedBetMultipliers,500,1,1,
,randomBetMultiplierDistributionsIndices,values,4,4,4,4,4,4,4,
,threshhold,530,
,fallbackDistributionIndex,0,

