bonusBuyCoinGameProfileDistribution
weight, featureType, payload,
9000,ExpandedInstantPrize,0,
2500,ExpandedInstantPrize,1,
1200,ExpandedInstantPrize,2,
1100,ExpandedInstantPrize,3,
900,ExpandedInstantPrize,4,
500,ExpandedInstantPrize,5,
100,ExpandedInstantPrize,6,
100,ExpandedInstantPrize,7,
250,ExpandedInstantPrize,8,
1000,ExpandedInstantPrize,9,
1500,ExpandedInstantPrize,10,
2000,ExpandedInstantPrize,11,
500,ExpandedInstantPrize,12,
115,ExpandedInstantPrize,13,
115,ExpandedInstantPrize,14,
100,ExpandedInstantPrize,15,
50,ExpandedInstantPrize,16,
50,ExpandedInstantPrize,17,
15,ExpandedInstantPrize,18,
13,ExpandedInstantPrize,19,
3,ExpandedInstantPrize,20,
