bonusGameReelSetsDistributions
profile, ways, weight, reelset,
BonusLow,
,MinWays,
,,100,1,
,LowWays,
,,55,1,
,,15,2,
,,30,6,
,MedWays,
,,55,1,
,,15,2,
,,30,6,
,HighWays,
,,20,1,
,,80,6,
,MaxWays,
,,18,1,
,,82,6,
BonusNewLow,
,MinWays,
,,1,0,
,LowWays,
,,1,0,
,MedWays,
,,1,0,
,HighWays,
,,375,6,
,,500,0,
,MaxWays,
,,800,6,
,,500,0,
BonusCoinSmall,
,MinWays,
,,100,1,
,LowWays,
,,80,1,
,,20,6,
,MedWays,
,,80,1,
,,20,6,
,HighWays,
,,25,1,
,,75,6,
,MaxWays,
,,70,1,
,,30,6,
BonusReplaceSmall,
,MinWays,
,,100,1,
,LowWays,
,,80,1,
,,20,6,
,MedWays,
,,80,1,
,,20,6,
,HighWays,
,,25,1,
,,75,6,
,MaxWays,
,,70,1,
,,30,6,
ReplaceHeavy,
,MinWays,
,,100,1,
,LowWays,
,,80,1,
,,20,6,
,MedWays,
,,80,1,
,,20,6,
,HighWays,
,,25,1,
,,75,6,
,MaxWays,
,,70,1,
,,30,6,
InstantHeavy,
,MinWays,
,,100,1,
,LowWays,
,,80,1,
,,20,6,
,MedWays,
,,80,1,
,,20,6,
,HighWays,
,,25,1,
,,75,6,
,MaxWays,
,,70,1,
,,30,6,
BonusHigh,
,MinWays,
,,50,1,
,,25,7,
,,25,8,
,LowWays,
,,50,1,
,,25,7,
,,25,8,
,MedWays,
,,50,1,
,,25,7,
,,25,8,
,HighWays,
,,50,1,
,,25,7,
,,25,8,
,MaxWays,
,,15,0,
,,15,1,
,,15,2,
,,55,6,
